rooms,area,floor,repaired,terrace,region,district,house_name,builder_name,builder_phone,building_starts,building_ends,installment_pay_month,prepayment_percent,finished_flat,price_per_area,total_price,flat_plan_image_url
2,79.8,9,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,50,No,12500000,997500000,"https://service.app.uysot.uz/files/com-12/image/230419-125654-057c77be-a46b-4edd.jpg, https://service.app.uysot.uz/files/com-12/image/230419-130033-491f16ba-f86f-452f.jpg, , "
2,79.8,7,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,50,No,13000000,1037400000,"https://service.app.uysot.uz/files/com-12/image/230419-130033-491f16ba-f86f-452f.jpg, https://service.app.uysot.uz/files/com-12/image/230419-125654-057c77be-a46b-4edd.jpg, , "
2,80.3,2,No,10.0,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12000000,963600029,"https://service.app.uysot.uz/files/com-12/image/230802-122805-892d3f40-753b-42c2.jpg, https://service.app.uysot.uz/files/com-12/image/230616-150401-e2a72a2e-c98b-491e.jpg, , "
2,80.3,8,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12500000,1003750000,"https://service.app.uysot.uz/files/com-12/image/230616-151231-f6398072-728d-4175.jpg, https://service.app.uysot.uz/files/com-12/image/230802-122805-892d3f40-753b-42c2.jpg, , "
2,80.3,6,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,13000000,1043900000,"https://service.app.uysot.uz/files/com-12/image/230802-122805-892d3f40-753b-42c2.jpg, https://service.app.uysot.uz/files/com-12/image/230616-151231-f6398072-728d-4175.jpg, , "
2,80.3,4,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,13500000,1084050000,"https://service.app.uysot.uz/files/com-12/image/230802-122805-892d3f40-753b-42c2.jpg, https://service.app.uysot.uz/files/com-12/image/230616-150401-e2a72a2e-c98b-491e.jpg, , "
2,84.42,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12000000,1013040000,"https://service.app.uysot.uz/files/com-12/image/230616-144142-3f2c6c82-829b-484d.jpg, https://service.app.uysot.uz/files/com-12/image/230616-144139-604ffdd3-6c1b-420e.png, , "
3,65.16,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,50,No,4500000,293220000,not available
3,70.24,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,50,No,4500000,316080000,not available
3,83.66,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12000000,1003920000,"https://service.app.uysot.uz/files/com-12/image/230616-164007-4e729abd-bc0c-42a5.jpg, https://service.app.uysot.uz/files/com-12/image/230616-164010-9aec17cd-a83a-4f78.jpg, , "
3,85.98,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12000000,1031760000,"https://service.app.uysot.uz/files/com-12/image/230616-144204-b86ea058-374f-472e.png, https://service.app.uysot.uz/files/com-12/image/230616-144208-f4867706-380d-456e.jpg, , "
3,86.65,6,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,13000000,1126450000,"https://service.app.uysot.uz/files/com-12/image/230616-144810-33eca1fd-3f29-4f5e.jpg, https://service.app.uysot.uz/files/com-12/image/230616-144808-a5a09e8d-785e-4d55.jpg, , "
3,86.65,4,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,13500000,1169775000,"https://service.app.uysot.uz/files/com-12/image/230616-144511-55c15e6b-441b-435e.jpg, https://service.app.uysot.uz/files/com-12/image/230616-144514-2798e78b-bb98-4bb5.jpg, , "
